ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,528,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,529,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,532,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,533,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,540,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,554,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,555,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,557,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,558,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,561,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,562,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,564,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,566,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,567,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,571,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,572,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,573,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,585,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,586,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,593,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,595,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,597,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,600,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,601,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,604,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,605,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,607,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,608,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,611,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,618,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,621,2,230,2ª Región,Antofagasta,Antofagasta,2101,ANTOFAGASTA,2101
2003,637,2,233,2ª Región,Taltal,Taltal,2104,TALTAL,2104
2003,639,2,233,2ª Región,Taltal,Taltal,2104,TALTAL,2104
2003,643,2,233,2ª Región,Taltal,Taltal,2104,TALTAL,2104
2003,647,2,233,2ª Región,Taltal,Taltal,2104,TALTAL,2104
2003,651,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,653,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,654,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
