REGION,PROVINCIA,COMUNA,DC,AREA,ZC_LOC,ID_ZONA_LOC,NVIV,NHOGAR,PERSONAN,P07,P08,P09,P10,P10COMUNA,P10PAIS,P11,P11COMUNA,P11PAIS,P12,P12COMUNA,P12PAIS,P12A_LLEGADA,P12A_TRAMO,P13,P14,P15,P15A,P16,P16A,P16A_OTRO,P17,P18,P19,P20,P21M,P21A,P10PAIS_GRUPO,P11PAIS_GRUPO,P12PAIS_GRUPO,ESCOLARIDAD,P16A_GRUPO,REGION_15R,PROVINCIA_15R,COMUNA_15R,P10COMUNA_15R,P11COMUNA_15R,P12COMUNA_15R
10,101,10102,1,2,8,12926,247,1,2,15,2,27,1,98,998,2,98,998,1,98,998,9998,98,2,5,12,99,1,1,98,1,P,1,1,5,2009,998,998,998,17,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,247,1,3,15,2,32,3,10101,998,3,10101,998,2,10101,998,9998,98,1,4,12,99,2,98,98,1,P,99,99,99,9999,998,998,998,16,98,10,101,10102,10101,10101,10101
10,101,10102,1,2,8,12926,247,1,4,14,2,34,2,98,998,2,98,998,2,997,998,9998,98,2,5,12,1,1,1,98,1,Z,1,1,7,2002,998,998,998,17,1,10,101,10102,98,98,997
10,101,10102,1,2,8,12926,248,1,1,1,2,52,1,98,998,2,98,998,1,98,998,9998,98,2,5,5,2,2,98,98,4,98,6,6,9,2007,998,998,998,5,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,248,1,2,5,1,27,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,1,1,98,1,Z,98,98,98,9998,998,998,998,8,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,248,1,3,5,2,16,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,4,98,0,98,98,9998,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,248,1,4,5,1,9,1,98,998,2,98,998,1,98,998,9998,98,1,3,5,2,2,98,98,98,98,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,248,2,1,1,1,26,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,1,1,98,1,C,98,98,98,9998,998,998,998,12,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,248,2,2,6,2,22,1,98,998,3,10108,998,2,10108,998,9998,98,2,4,7,1,2,98,98,3,Z,1,1,3,2017,998,998,998,12,98,10,101,10102,98,10108,10108
10,101,10102,1,2,8,12926,248,2,3,5,2,0,1,98,998,1,98,998,1,98,998,9998,98,99,99,99,99,1,1,98,98,98,98,98,98,9998,998,998,998,99,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,249,1,1,1,1,72,1,98,998,2,98,998,1,98,998,9998,98,2,4,6,2,2,98,98,1,A,98,98,98,9998,998,998,998,4,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,249,1,2,2,2,65,1,98,998,99,99,999,1,98,998,9998,98,2,7,5,2,2,98,98,6,98,4,4,4,1982,998,999,998,7,98,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,252,1,1,1,1,72,1,98,998,99,99,999,1,98,998,9998,98,2,3,6,2,2,98,98,7,98,98,98,98,9998,998,999,998,3,98,10,101,10102,98,99,98
10,101,10102,1,2,8,12926,253,1,1,1,1,47,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,1,A,98,98,98,9998,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,253,1,2,2,2,42,1,98,998,2,98,998,1,98,998,9998,98,2,8,5,1,2,98,98,6,98,2,2,9,1995,998,998,998,8,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,253,1,3,5,2,24,1,98,998,2,98,998,1,98,998,9998,98,1,2,11,2,2,98,98,5,98,1,1,3,2011,998,998,998,14,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,253,1,4,5,1,21,1,98,998,2,98,998,1,98,998,9998,98,2,4,7,1,2,98,98,1,C,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,253,1,5,12,1,6,1,98,998,2,98,998,1,98,998,9998,98,1,0,3,1,2,98,98,98,98,98,98,98,9998,998,998,998,0,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,254,1,1,1,1,51,1,98,998,2,98,998,1,98,998,9998,98,2,5,5,2,1,1,98,6,98,98,98,98,9998,998,998,998,5,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,254,1,2,2,2,55,1,98,998,2,98,998,1,98,998,9998,98,2,6,5,2,1,1,98,6,98,5,5,10,2001,998,998,998,6,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,254,1,3,5,2,15,1,98,998,2,98,998,1,98,998,9998,98,1,1,8,2,1,1,98,5,98,0,98,98,9998,998,998,998,9,1,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,255,1,1,1,2,69,1,98,998,2,98,998,2,10301,998,9998,98,2,4,5,2,2,98,98,6,98,1,1,11,1993,998,998,998,4,98,10,101,10102,98,98,10301
10,101,10102,1,2,8,12926,255,1,2,5,2,23,1,98,998,2,98,998,1,98,998,9998,98,2,2,11,1,2,98,98,1,E,0,98,98,9998,998,998,998,14,98,10,101,10102,98,98,98
10,101,10102,1,2,8,12926,256,1,1,1,2,49,1,98,998,2,98,998,2,10210,998,9998,98,2,8,5,1,2,98,98,1,C,2,2,12,1997,998,998,998,8,98,10,101,10102,98,98,10210
10,101,10102,1,2,8,12926,256,1,2,2,1,53,1,98,998,2,98,998,2,997,998,9998,98,2,3,5,2,2,98,98,1,A,98,98,98,9998,998,998,998,3,98,10,101,10102,98,98,997
10,101,10102,1,2,8,12926,256,1,3,5,1,26,1,98,998,2,98,998,2,11101,998,9998,98,2,4,8,1,2,98,98,4,98,98,98,98,9998,998,998,998,12,98,10,101,10102,98,98,11101
